AMDBId;run_material;raw_path;structure_content_id;run_content_id;status
anyt.am-1-156;Fe2Mo3O8;4/Runs/ht.task.tetralith--default.Fe2Mo3O8_SCF.cleanup.0.unclaimed.3.finished;ce2d2be22c1674ea293d7f12f9cfa5134a936b415eddb879515540c4aa051187;a2db6bc52c629076601d4fa043e305d5beea0125da17d51bbbb294c15c8ad27c;auto
anyt.am-1-157;CsCoCl3;2/Runs/ht.task.tetralith--default.CsCoCl3_SCF.cleanup.0.unclaimed.3.finished;c4060cf25897403a0090fdfccce87692db1d5c8d742eba41dd4d856347d294fd;7c1362665e2da908e8e51dfe9c6c5f0e2ba4e150a11aa1c106ce394040019222;auto
anyt.am-1-159;Ba2CoGe2O7;1/Runs/ht.task.tetralith--default.Ba2CoGe2O7_SCF.cleanup.0.unclaimed.3.finished;1fb818d161da06a72b02310c3c5793beb2802b6770286d06c6706304fe92e42a;77c414e586d159c18bb314a5200e4d52f20e76544fd0c03325c15a81835499e4;auto
anyt.am-1-16;MnF2;6/Runs/ht.task.tetralith--default.MnF2_SCF.cleanup.0.unclaimed.3.finished;32f5baecc1958f23a5b5d469abacaae96090bbee5325bab3386b27d956d652e4;606822dca3afc7fc1b9031be769b4106331574cd667f5d19df688a6f3826c50e;auto
anyt.am-1-160;Ca2RuO4;1/Runs/ht.task.tetralith--default.Ca2RuO4_SCF.cleanup.0.unclaimed.3.finished;96a8b9a5f115e340aa9e274ec1b4c8536e11c57c693b8d1309c628c35574068d;d3ac4ce849635587240b5cfd7378a853a40429cb28f74f0fffa6ee4bf527e37f;auto
anyt.am-1-161;Cu3Mo2O9;3/Runs/ht.task.tetralith--default.Cu3Mo2O9_SCF.cleanup.0.unclaimed.3.finished;f1d0cd0e4b9c63758ad80987f7d5b56888d01e3a48982c87a375cd4533a1a4ed;69761a9635a6151a14c94d6fbdc111c3538d6067dd3ddfd37557ee5a8cd94e06;auto
anyt.am-1-165;CsCoF4;2/Runs/ht.task.tetralith--default.CsCoF4_SCF.cleanup.0.unclaimed.3.finished;3011b390b0fdd320b10c3cd4f34e6f50c41447372a96a1e3c957bb78bd9dfd35;7326da0a9924366283c024ca72212e64ceaa359f436581d6245406b3a4268069;auto
anyt.am-1-167;Ba3MnSb2O9;1/Runs/ht.task.tetralith--default.Ba3MnSb2O9_SCF.cleanup.0.unclaimed.3.finished;84356ef66fd7ff7d46c1ff84a6a809203442ef6cb868123c7e03e9999d7b9f55;18c13d9658780e4b3e44527ef0c26090f3c6ab49bb4fda134937708dab836d1b;auto
anyt.am-1-169;Co2Mo3O8;2/Runs/ht.task.tetralith--default.Co2Mo3O8_SCF.cleanup.0.unclaimed.3.finished;ecd324504ef9680eb7aaf818f8393c6870a9c16a01ce70b0bbd18d7746b05e22;ee2d28e5bb3b0a8f67ae33d9f92e576754c1e6b9a0863af902d626212788bf1f;auto
anyt.am-1-17;CrVO4;2/Runs/ht.task.tetralith--default.CrVO4_SCF.cleanup.0.unclaimed.3.finished;2e360f1575b0affd6888035b80578cec4603ed1bb41b11e67e7dba6a21be35c3;9be2940579a421a010f738f3ef938b7198d758fa9a9e517538704492df245d71;auto
anyt.am-1-171;BaCrF5;1/Runs/ht.task.tetralith--default.BaCrF5_SCF.cleanup.0.unclaimed.3.finished;557a8c6b70f4a62f32b2bf1d00bd6a3a02031bc048612a2471c23fb88255a918;7cd15a040c00bf89594ad564d95f001cf2c4304c6d06f7027e9c84b9bcd307a4;auto
anyt.am-1-172;Ba3CoSb2O9;1/Runs/ht.task.tetralith--default.Ba3CoSb2O9_SCF.cleanup.0.unclaimed.3.finished;eccf9e911e7a4258d73241caec143ab56989170fd6007e52b379d548738cbabe;45da07f01f144ac56f86ea7923e2eec7548c56b058cd5a02c897e2ef8787abb8;auto
anyt.am-1-175;Na2CoP2O7;7/Runs/ht.task.tetralith--default.Na2CoP2O7_SCF.cleanup.0.unclaimed.3.finished;9dc615fe6d4fc679327adb063a09eaeb34c90781e69be5d9113fae6a5dcf4d54;8f79efae11f70973090db3591958e0487057b2132cabe1c636abcef5e5c0ecd8;auto
anyt.am-1-178;CsNiCl3;3/Runs/ht.task.tetralith--default.CsNiCl3_SCF.cleanup.0.unclaimed.3.finished;8d8f3ea26d6fc5683acf981e718c7e0169f1164dbc63b05fd09af38665e9fe88;79fb39e16faff9c72241960af8a072492b970ebac7549914f493195a2ccd473d;auto
anyt.am-1-18;Sr4Fe4O11;9/Runs/ht.task.tetralith--default.Sr4Fe4O11_SCF.cleanup.0.unclaimed.3.finished;b7c6e69db85a8d31458b5e0e126bc852f2f96a92843024df9e92ae071973ce75;4afbce8a43800cfad2129f67b6542fa8858d361d83ca174af7284aae844caf63;auto
anyt.am-1-19;HoFeO3;5/Runs/ht.task.tetralith--default.HoFeO3_SCF.cleanup.0.unclaimed.3.finished;0f6f0d87fde6cb26b46907c87a9c10f5bcf2eec0b38b9d3266aca20f76547ca1;850c61358de4023584eac93f694ede90bc65e640f2888905854c9ff57d4ba0eb;auto
anyt.am-1-2;MnTe;7/Runs/ht.task.tetralith--default.MnTe_SCF.cleanup.0.unclaimed.3.finished;576fe982b11d829ea5ca52a7a8f9b8fb56add3495fbbab8b5f2a4350129f7f4c;2218d3a060864c462978eef4ea6aea552c807231f94172bebe27002206642938;auto
anyt.am-1-20;La2CoIrO6;5/Runs/ht.task.tetralith--default.La2CoIrO6_SCF.cleanup.0.unclaimed.3.finished;c091eb809567c53693312ed83842bc6c0ca34eea1da77581443f713bcb17cf87;d83eed0b3e91d94380d08a59299dc17aa6b50dc6fba63438f517c3e322f00e89;auto
anyt.am-1-21;TbFeO3;9/Runs/ht.task.tetralith--default.TbFeO3_SCF.cleanup.0.unclaimed.3.finished;492205ddae8a7a800d615869364c547c9c739f99c155eec67005ae65b2ec71e2;35c936bdca23b2c6134778400f5eb9076851081db2b487f7749857f977c7dddf;auto
anyt.am-1-22;Fe2WO6;4/Runs/ht.task.tetralith--default.Fe2WO6_SCF.cleanup.0.unclaimed.3.finished;2c56a895d680a5666ebf7636e88dfbaa3540beccaf0b198338d840e067b52e3c;7e1bc9bdc8eccfccd98f6c87548545bf9fdd2b10269022eae4c65a99097be46a;auto
anyt.am-1-23;Er2Ru2O7;4/Runs/ht.task.tetralith--default.Er2Ru2O7_SCF.cleanup.0.unclaimed.3.finished;fec8aa45c1d5f76f987576566afb9e4ad0ec8717a6ace9975c6e5ca3fea35c2f;3f1b10efc28e11175faf3789c82fe0833183056ff8f6b37a604e7191eec3dc9e;auto
anyt.am-1-24;FeBO3;4/Runs/ht.task.tetralith--default.FeBO3_SCF.cleanup.0.unclaimed.3.finished;71cbe913cfc0317dd4d9eb60adf6291b8e6e9fa97874e0107649a4a8c1785c8d;974d68f10478b815c5b33da0eb38ba2ba2f01c549aa04b0d3b5ed31ab33f1d53;auto
anyt.am-1-25;DyFeO3;3/Runs/ht.task.tetralith--default.DyFeO3_SCF.cleanup.0.unclaimed.3.finished;c1a01fa25c3fcd5c3d4d0ae1d112f4cbde5e1f4007c2d4bdc4dbed0bbce8a621;7dad0ff87d5c9b4fab181b1ef0056f0b930c8a711547d5ce2243cafbec27ca73;auto
anyt.am-1-26;TlCrO3;9/Runs/ht.task.tetralith--default.TlCrO3_SCF.cleanup.0.unclaimed.3.finished;aaf577177b1a1af593d3e40add109c6adbfcfb12829304ef59595b6221ee2dd2;c2e942e3aba1ab8bd8b9840d7ad644b5b14d27ea0bc1dbd2088ceb84b630bb0c;auto
anyt.am-1-28;MnSiN2;6/Runs/ht.task.tetralith--default.MnSiN2_SCF.cleanup.0.unclaimed.3.finished;c38acfb84e9ed0ad33449b2a169142aff00b44b15526675b95ef84b4b789a52c;642fcf632682d54c2db42ee337bdf903bd19455deeb10592216935dbe9701584;auto
